"","Neighborhood","ZIPCode","Community.Area","Community.Area.Name","Diabetes.related","Per.Capita.Income","Unemployment","2010Pop","Birth.Rate","General.Fertility.Rate","Low.Birth.Weight","Prenatal.Care.Beginning.in.First.Trimester","Preterm.Births","Teen.Birth.Rate","Assault..Homicide.","Breast.cancer.in.females","Cancer..All.Sites.","Colorectal.Cancer","Diabetes.related.1","Firearm.related","Infant.Mortality.Rate","Lung.Cancer","Prostate.Cancer.in.Males","Stroke..Cerebrovascular.Disease.","Childhood.Blood.Lead.Level.Screening","Childhood.Lead.Poisoning","Gonorrhea.in.Females","Gonorrhea.in.Males","Tuberculosis","Below.Poverty.Level","Crowded.Housing","Dependency","No.High.School.Diploma","AcresOfParks","NumberOfParks","Liquor Licenses","Grocery Stores"
"136","CHATHAM",60620,68,"Englewood",101.8,11993,21.3,328,20,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401,2.8,2594.9,"2323.5",11.3,42.2,4.8,43.4,29.4,112.14,16,40,6
"137","CHATHAM",60620,71,"Auburn Gresham",83.6,16022,24.2,48743,15.1,70.5,11.6,71.8,13.9,83.1,37.6,41.9,243,24.5,83.6,32.6,15.6,65.1,43.5,63.7,393.8,1.5,2032.2,"1986.7",7.3,24.5,4.1,42.1,19.5,112.14,16,40,6
"138","CHATHAM",60620,72,"Beverly",59.6,40107,7.8,4,11,60.7,4.9,84.8,9.9,11.9,3.5,42,197.6,24.8,59.6,3.5,10,47.9,44.7,57.2,179.1,1.3,195.5,"469.5",0,5.2,0.7,38.7,5.1,112.14,16,40,6
"139","CHATHAM",60619,49,"Roseland",95.5,17974,17.8,3101,14.3,68.8,12.2,69,12.8,79.7,40.9,43.5,258.5,32,95.5,37.7,9.6,70.3,57.6,55.6,369.5,1.9,1512,"1725.3",7.9,19.5,3.1,40.9,17.4,97.65,15,45,6
"140","CHATHAM",60620,69,"Greater Grand Crossing",92.3,17213,18.9,2847,18.2,82.4,12.9,72.3,15.1,84.3,49.7,29.1,274.4,31.5,92.3,44.6,14.2,77.5,70.3,58.2,453.7,1.9,2500.3,"2034.2",4.8,25.6,4.2,42.9,17.9,112.14,16,40,6
"141","CHATHAM",60620,73,"Washington Heights",79.5,19709,18.3,12513,12,61,19.6,75.4,16.2,65,38,47.9,260.6,29.7,79.5,35.6,11.2,70,56.2,57.6,371.4,1.5,1298.2,"1274.2",3,15.7,1.1,42.4,15.6,112.14,16,40,6
"142","CHICAGO LAWN",60629,70,"Ashburn",80.1,22078,8.8,4,14.7,69,9,82.4,11.3,38.3,12.4,37.2,229.3,22.8,80.1,11.6,10.2,62.8,44.5,47.4,368.3,0.2,529,"602.9",4.4,9.5,4.2,36.7,18.3,411.2,8,53,12
"143","CHICAGO LAWN",60636,63,"Gage Park",65,12014,14,337,21.8,93.2,6.8,80.4,6.8,61.4,10.8,23.4,171,13.6,65,11.1,5.4,34.1,41.1,51.2,590.3,0.8,171.6,"149.2",7,20.8,17.4,40.4,54.1,86.27,8,27,12
"144","CHICAGO LAWN",60636,68,"Englewood",101.8,11993,21.3,549,20,85.8,14.5,69.7,13.1,105.3,45.1,32.9,252.2,30.2,101.8,44.9,13.4,76.8,57.7,71.6,401,2.8,2594.9,"2323.5",11.3,42.2,4.8,43.4,29.4,86.27,8,27,12
"145","CHICAGO LAWN",60629,65,"West Lawn",61.5,15898,7.8,32388,18.8,83.3,7.6,83.5,8.3,44.6,10.7,16.9,145.1,15.7,61.5,8.8,8.4,36.7,19.7,43.1,508.3,0.2,93.1,"87.2",4.3,15.3,6.8,41.9,33.4,411.2,8,53,12
